球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
A.C.-格林,153,4119,0.4750 ,455,958,0.25,12,48,0.739,393,532,1084,130,100,46,146,340,1315
安芬尼-哈达威,64,2640,0.4480 ,456,1018,0.38,101,266,0.746,291,390,303,394,119,48,188,197,1304
卢-哈德森,61,2199,0.4460 ,519,1164,0,0,0,0.804,262,326,318,164,0,0,0,196,1300
阿朗佐-莫宁,95,2597,0.5120 ,441,861,0.368,7,19,0.649,402,619,665,81,45,215,226,330,1291
保罗-米尔萨普,97,2830,0.4670 ,475,1017,0.263,42,160,0.714,297,416,722,179,99,115,169,299,1289
德玛尔-德罗赞,58,2165,0.4180 ,455,1088,0.233,24,103,0.851,337,396,269,208,63,12,133,153,1271
赛尔吉-伊巴卡,117,3471,0.4960 ,517,1043,0.385,65,169,0.779,162,208,771,78,50,259,108,366,1261
韦斯-昂塞尔德,119,4889,0.4930 ,513,1040,0,0,0,0.608,234,385,1777,453,0,0,0,371,1260
安德鲁-托尼,72,2146,0.4780 ,485,1015,0.235,12,51,0.786,272,346,168,323,58,18,257,265,1254
鲍伯-兰尼尔,67,2361,0.5320 ,508,955,0,0,0,0.768,228,297,645,235,62,99,0,233,1244
拉特里尔-斯普雷威尔,62,2549,0.4180 ,446,1067,0.33,62,188,0.803,269,335,269,211,73,27,171,135,1223
比尔-布拉德利,95,3161,0.4380 ,510,1165,0,0,0,0.805,202,251,333,263,0,0,0,313,1222
阿兰-休斯顿,63,2525,0.4480 ,435,970,0.42,76,181,0.884,268,303,184,139,43,10,163,151,1214
巴克-威廉姆斯,108,3710,0.5200 ,436,839,0.5,1,2,0.672,338,503,941,113,90,70,190,386,1211
弗莱德-布朗,83,1900,0.4610 ,499,1082,0,0,0,0.819,186,227,196,193,74,8,0,144,1197
吉姆-麦克米兰,72,2722,0.4510 ,497,1101,0,0,0,0.791,200,253,377,137,0,0,0,169,1194
拉沙德-刘易斯,93,2829,0.4360 ,417,956,0.356,138,388,0.818,220,269,433,163,69,42,137,186,1192
保罗-阿里金,49,0,0.4110 ,411,1001,0,0,0,0.829,364,439,404,128,0,0,0,177,1186
比尔-布里奇斯,113,3521,0.4190 ,475,1135,0,0,0,0.673,235,349,1305,219,0,0,0,408,1185
马克-杰克逊,131,3775,0.4320 ,438,1013,0.345,97,281,0.777,212,273,477,904,131,8,292,225,1185
梅塔-沃尔德皮斯,85,3133,0.3890 ,431,1108,0.308,128,415,0.714,190,266,408,234,131,56,141,244,1180
德里克-麦凯,142,3786,0.4640 ,436,939,0.302,39,129,0.744,265,356,626,319,111,88,225,436,1176
埃迪-约翰逊,89,2114,0.4290 ,452,1054,0.31,67,216,0.864,197,228,312,102,46,13,98,199,1168
马奎斯-约翰逊,54,2112,0.4890 ,471,964,0,0,0,0.701,218,311,427,198,56,45,111,156,1163
莫里斯-卢卡斯,82,2426,0.4840 ,472,975,0,0,0,0.744,215,289,690,225,71,46,0,310,1159
扎克-兰多夫,70,2447,0.4370 ,439,1005,0.154,4,26,0.75,273,364,650,120,51,26,129,213,1155
J.J.雷迪克,106,2773,0.4250 ,389,916,0.368,177,481,0.876,191,218,163,168,53,11,132,203,1146
汤姆-桑德斯,130,3049,0.4360 ,465,1066,0,0,0,0.716,212,296,760,127,0,0,0,508,1142
沃恩-米克尔森,85,0,0.3960 ,396,999,0,0,0,0.783,349,446,0,152,0,0,0,397,1141
迈克尔-汤普森,104,2708,0.5010 ,449,897,0,0,0,0.648,234,361,627,126,56,106,156,309,1132
阿尔奇-克拉克,71,2387,0.4540 ,444,977,0,0,0,0.772,237,307,229,297,0,0,0,197,1125
保罗-塞拉斯,163,4619,0.3970 ,396,998,0,0,0,0.692,332,480,1527,335,0,0,0,469,1124
杰梅因-奥尼尔,97,2575,0.4260 ,413,970,0,0,16,0.718,298,415,631,99,35,167,161,286,1124
布雷克-格里芬,53,1871,0.4900 ,433,883,0.361,13,36,0.73,243,333,448,213,57,46,135,182,1122
肖恩-埃利奥特,85,2836,0.4450 ,384,862,0.356,73,205,0.801,277,346,341,207,59,37,147,220,1118
塞德里克-麦克斯维尔,102,2731,0.5450 ,375,688,0,0,2,0.777,366,471,553,194,74,50,172,260,1116
罗兰多-布莱克曼,69,2137,0.4840 ,434,897,0.29,9,31,0.869,233,268,200,217,42,14,126,119,1110
特雷西·麦克格雷迪,50,1721,0.4260 ,397,933,0.29,56,193,0.757,259,342,286,249,53,47,134,93,1109
比尔·卡特赖特,124,3496,0.4820 ,417,866,0,0,0,0.725,266,367,668,162,54,57,192,412,1100
伯瑞斯-迪奥,119,3141,0.5040 ,448,889,0.336,48,143,0.736,153,208,520,382,72,52,181,261,1097
凯尔-科沃尔,135,3250,0.4170 ,367,880,0.391,239,612,0.89,121,136,352,151,78,55,114,273,1094
德里克-哈珀,97,3094,0.4490 ,415,925,0.365,96,263,0.712,168,236,233,513,148,11,167,237,1094
奇奇-范德维奇,68,1890,0.5100 ,419,822,0.345,20,58,0.907,235,259,188,134,39,27,89,132,1093
菲尔-切尼尔,60,2088,0.4500 ,438,974,0,0,0,0.845,212,251,230,131,0,0,0,152,1088
杰夫-穆林斯,83,2255,0.4490 ,462,1030,0,0,0,0.751,160,213,304,259,0,0,0,217,1084
达米安-利拉德,43,1756,0.4100 ,355,865,0.355,125,352,0.882,247,280,194,244,54,13,137,105,1082
丹尼斯-罗德曼,169,4789,0.4900 ,442,902,0.149,7,47,0.54,190,352,1676,205,106,97,258,630,1081
阿尔万-亚当斯,78,2288,0.4730 ,440,930,0,0,0,0.766,196,256,588,320,88,71,0,251,1076
鲍伯-乐福,47,2061,0.4310 ,441,1023,0,0,0,0.776,194,250,352,87,0,0,0,144,1076
马克-加索尔,67,2561,0.4500 ,379,842,0.425,17,40,0.804,300,373,568,229,65,110,103,225,1075
泽尔莫-贝蒂,63,2345,0.4660 ,399,857,0,0,0,0.718,273,380,696,98,0,0,0,267,1071
拉里-南斯,68,2428,0.5410 ,440,813,0,0,1,0.742,190,256,535,160,59,144,108,220,1070
约什-史密斯,73,2303,0.4260 ,397,932,0.277,46,166,0.627,225,359,539,203,74,107,164,214,1065
马里奥-埃利,116,3054,0.4520 ,325,719,0.367,90,245,0.836,245,293,342,264,94,16,142,260,985
杰里-斯塔克豪斯,75,2162,0.3690 ,324,879,0.332,79,238,0.829,257,310,232,174,40,18,141,130,984
克里斯-穆林,71,2057,0.4950 ,366,740,0.409,67,164,0.859,183,213,237,148,74,45,136,145,982
吉姆-波拉德,72,0,0.3390 ,349,1029,0,0,0,0.75,279,372,0,259,0,0,0,205,977
约什-霍华德,66,2114,0.4400 ,359,816,0.311,46,148,0.782,212,271,458,101,66,39,131,216,976
凯文-威利斯,98,2377,0.4840 ,398,823,0.214,3,14,0.692,171,247,637,60,60,39,129,294,970
内特-瑟蒙德,81,2875,0.4160 ,379,910,0,0,0,0.621,208,335,1101,225,0,0,0,266,966
凯文-乐福,63,1957,0.4030 ,313,776,0.404,141,349,0.854,199,233,609,116,46,34,105,150,966
克莱德-拉福莱特,69,1642,0.4160 ,371,892,0,0,0,0.684,221,323,557,89,0,0,0,232,963
杰夫-蒂格,71,2078,0.4100 ,334,815,0.337,68,202,0.856,220,257,185,344,67,29,147,158,956
杰夫-马龙,51,1809,0.4700 ,382,812,0.167,2,12,0.852,190,223,141,110,39,12,90,123,956
莱昂德罗-巴博萨,119,2193,0.4370 ,358,819,0.332,87,262,0.77,147,191,206,166,60,11,111,218,950
艾弗里-约翰逊,90,2807,0.4860 ,398,819,0.063,1,16,0.661,152,230,186,562,102,11,171,174,949
凯尔文-墨菲,51,1660,0.4750 ,388,817,0,0,0,0.932,165,177,78,213,79,4,0,197,945
蒂姆-哈达威,56,2052,0.3930 ,329,837,0.32,110,344,0.751,175,233,172,382,88,9,165,122,943
拜伦-戴维斯,50,1851,0.4420 ,329,745,0.35,99,283,0.709,185,261,213,311,114,24,131,177,942
本-华莱士,130,4524,0.4820 ,364,755,0,0,10,0.418,211,505,1454,173,199,250,136,296,939
拉里-约翰逊,66,2397,0.4830 ,351,727,0.303,47,155,0.767,188,245,351,134,55,11,121,202,937
乔治-亚德利,46,1693,0.4220 ,324,767,0,0,0,0.817,285,349,457,112,0,0,0,143,933
里德-科尔,76,2275,0.3860 ,370,959,0,0,0,0.687,193,281,827,152,0,0,0,173,933
瑟尔-贝莉,69,2117,0.4490 ,364,811,0,0,4,0.834,201,241,382,98,30,82,109,196,929
道格-里弗斯,81,2393,0.4460 ,308,691,0.338,50,148,0.767,260,339,270,479,125,23,153,265,926
迈克-康利,56,2090,0.4140 ,321,776,0.317,70,221,0.792,213,269,205,377,81,12,119,127,925
斯拉特尔-马丁,92,0,0.3510 ,304,867,0,0,0,0.715,316,442,0,354,0,0,0,342,924
迪坎贝-穆托姆博,101,3117,0.5170 ,303,586,0,0,1,0.703,312,444,962,78,40,251,149,259,918
莱昂内尔-霍林斯,77,2293,0.4110 ,369,897,0,0,0,0.733,173,236,207,344,114,11,0,221,911
小安东尼-梅森,96,3092,0.5240 ,333,636,0,0,4,0.668,243,364,636,214,54,28,175,257,909
布拉德利-比尔,40,1597,0.4400 ,327,744,0.363,95,262,0.823,158,192,174,148,62,24,91,107,907
丹尼-格林,108,2741,0.4260 ,327,768,0.408,206,505,0.73,46,63,353,128,109,89,93,219,906
安东尼奥-戴维斯,93,2647,0.4780 ,311,650,1,1,1,0.674,279,414,686,83,57,102,144,310,902
拉里-福斯特,73,0,0.3940 ,301,763,0,0,0,0.781,300,384,707,94,0,0,0,255,902
戴尔-戴维斯,137,3662,0.5330 ,366,687,0,0,2,0.503,168,334,1091,87,79,126,153,408,900
马克斯尔-扎斯洛夫斯基,63,0,0.3600 ,306,850,0,0,0,0.772,287,372,0,101,0,0,0,174,899
杰里-卢卡斯,72,2370,0.4670 ,367,786,0,0,0,0.786,162,206,717,214,0,0,0,197,896
埃尔登-坎贝尔,106,2268,0.4400 ,339,770,0.25,1,4,0.67,209,312,500,99,51,137,129,298,888
格伦-莱斯,55,2037,0.4330 ,322,743,0.362,71,196,0.845,169,200,249,101,45,12,89,133,884
斯科特-威德曼,85,1961,0.4530 ,368,812,0,0,0,0.696,119,171,322,150,63,20,0,189,882
保罗-普莱西,75,2269,0.4710 ,321,682,0.244,11,45,0.728,228,313,316,420,116,49,207,261,881
基斯-埃里克森,87,2393,0.4520 ,364,806,0,0,0,0.762,144,189,386,216,0,0,0,286,872
马里奥-钱莫斯,99,2880,0.4290 ,307,716,0.357,117,328,0.742,141,190,251,321,117,15,167,274,872
泽维尔-麦克丹尼尔,51,1733,0.4640 ,365,787,0.282,11,39,0.667,126,189,357,131,36,22,125,173,867
杰伦-罗斯,59,1884,0.4380 ,324,740,0.385,50,130,0.801,165,206,189,169,49,25,118,176,863
吉米-巴特勒,51,1902,0.4360 ,290,665,0.359,71,198,0.822,208,253,276,169,77,26,74,100,859
安德烈-米勒,67,1924,0.4460 ,328,736,0.383,23,60,0.768,179,233,241,279,58,5,144,151,858
拉里-齐格弗里德,79,1826,0.4000 ,301,753,0,0,0,0.834,256,307,199,209,0,0,0,249,858
约翰-塞利,134,2694,0.5050 ,296,586,0,0,2,0.69,265,384,588,104,49,159,107,420,857
卡兹-拉塞尔,72,1566,0.4600 ,359,781,0,0,0,0.87,134,154,222,97,0,0,0,151,852
沃尔特-贝拉米,46,1939,0.4710 ,323,686,0,0,0,0.642,204,318,680,136,0,0,0,160,850
康尼尔-西蒙斯,62,0,0.3820 ,278,728,0,0,0,0.731,286,391,0,96,0,0,0,256,842
乌杜尼斯-哈斯勒姆,147,3185,0.4800 ,332,691,0,0,1,0.713,169,237,822,82,58,41,118,386,833
沃利-琼斯,70,1761,0.4060 ,333,821,0,0,0,0.777,167,215,166,202,0,0,0,234,833
内内-希拉里奥,88,2185,0.5280 ,323,612,0,0,1,0.592,183,309,490,144,72,47,122,282,829
BJ0阿姆斯特朗,105,2364,0.4710 ,314,667,0.451,51,113,0.832,149,179,151,252,82,3,79,171,828
凯尔文-奈特,45,1504,0.5030 ,320,636,0.222,2,9,0.736,184,250,326,109,27,12,91,100,826
马克-普莱斯,47,1691,0.4640 ,280,603,0.337,56,166,0.944,202,214,124,327,64,5,158,81,818
扎诸纳斯-伊尔戈斯卡斯,80,2123,0.4770 ,327,686,0.154,2,13,0.744,160,215,555,73,26,85,106,236,816
卡尔迪维尔-琼斯,119,3466,0.4840 ,322,665,0,0,0,0.759,170,224,999,147,51,223,0,426,814
约翰-沃尔,37,1432,0.4190 ,286,682,0.267,35,131,0.822,203,247,159,364,64,41,145,84,810
布鲁斯-鲍文,135,4191,0.3940 ,286,726,0.422,168,398,0.553,68,123,366,177,108,64,84,363,808
安东尼奥-麦克戴斯,100,2361,0.4870 ,348,715,0,0,3,0.689,111,161,680,90,51,80,102,329,807
哈皮-海尔斯顿,69,2020,0.4450 ,307,690,0,0,0,0.733,187,255,559,121,0,0,0,185,801
唐-奥尔,47,1482,0.4270 ,320,749,0,0,0,0.752,155,206,161,130,0,0,0,154,795
安托万-贾米森,46,1607,0.4480 ,303,677,0.341,60,176,0.706,125,177,330,58,36,33,70,139,791
奥蒂斯-索普,78,2252,0.5690 ,321,564,0.333,1,3,0.631,147,233,547,128,33,15,117,241,790
阿尔尼-李森,61,0,0.3850 ,263,684,0,0,0,0.677,264,390,0,86,0,0,0,255,790
凯文-格里文,70,1625,0.4200 ,310,738,0,0,0,0.784,156,199,145,102,38,18,0,181,785
凯文-达克沃斯,67,1956,0.4470 ,323,723,0,0,1,0.702,139,198,393,84,30,34,155,246,785
布拉德-多赫迪,41,1600,0.5190 ,275,530,0,0,2,0.756,232,307,419,137,27,40,98,113,782
贾马尔-马什本,52,1849,0.3890 ,277,712,0.369,58,157,0.78,170,218,242,165,49,9,113,148,782
肯尼-史密斯,68,2043,0.4570 ,268,586,0.448,117,261,0.847,127,150,147,305,54,9,104,123,780
穆奇-布雷洛克,54,2161,0.3700 ,280,757,0.35,125,357,0.683,84,123,266,357,116,24,162,102,769
哈里-盖拉汀,64,0,0.3900 ,242,620,0,0,0,0.761,284,373,0,100,0,0,0,235,768
汤姆-霍金斯,96,2099,0.4590 ,311,677,0,0,0,0.617,145,235,537,106,0,0,0,310,767
卡隆-巴特勒,65,2043,0.3990 ,274,686,0.286,50,175,0.838,160,191,346,103,73,23,101,177,758
P.J.-布朗,106,2882,0.4340 ,285,656,0,0,2,0.751,187,249,700,103,67,83,97,327,757
杰克-马琳,51,1679,0.4500 ,292,649,0,0,0,0.824,173,210,283,120,0,0,0,151,757
比利·坎宁安,39,1217,0.4270 ,289,677,0,0,0,0.686,179,261,356,125,0,0,0,151,757
约翰-帕克森,119,2617,0.4940 ,306,620,0.369,45,122,0.867,91,105,109,306,65,3,71,249,748
柯克-辛里奇,71,2009,0.4280 ,268,626,0.407,92,226,0.744,119,160,186,277,74,17,97,191,747
肖恩-利文斯顿,113,2244,0.5060 ,307,607,0.4,2,5,0.811,129,159,314,280,47,26,123,226,745
