球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
厄尔-门罗,82,2715,0.4390 ,567,1292,0,0,0,0.791,337,426,266,264,0,0,0,216,1471
拉简-朗多,105,3935,0.4430 ,601,1358,0.289,37,128,0.646,232,359,641,981,201,19,301,266,1471
维拉蒂-迪瓦茨,121,3728,0.4800 ,541,1128,0.241,13,54,0.731,373,510,913,286,117,165,260,439,1468
杰克-希科马,102,3558,0.4450 ,556,1249,0,0,0,0.83,338,407,945,244,97,80,209,432,1461
阿玛雷-斯塔德迈尔,78,2398,0.5120 ,522,1019,0.25,4,16,0.75,413,551,574,64,63,104,182,264,1461
安德烈-伊格达拉,133,4349,0.4590 ,525,1144,0.36,150,417,0.591,256,433,649,524,182,60,199,265,1456
克里弗德-罗宾逊,141,3886,0.3930 ,539,1372,0.298,87,292,0.629,288,458,554,250,141,132,230,496,1453
鲍比-琼斯,125,3431,0.5350 ,553,1034,0,0,0,0.809,347,429,614,284,132,156,0,400,1453
沃尔特-戴维斯,78,2184,0.4960 ,591,1192,0,0,0,0.83,263,317,240,312,88,16,189,186,1450
鲁迪-拉鲁索,93,3188,0.4050 ,467,1152,0,0,0,0.751,410,546,779,194,0,0,0,366,1344
乔治-希尔,109,3566,0.4470 ,448,1003,0.366,144,393,0.801,301,376,344,296,99,28,154,257,1341
史蒂夫-史密斯,90,2902,0.4260 ,444,1042,0.394,136,345,0.858,314,366,268,195,77,29,135,221,1338
保罗-韦斯特法尔,107,2449,0.4810 ,553,1149,0,0,0,0.789,225,285,153,353,0,0,0,241,1337
大卫-韦斯特,118,3136,0.4760 ,537,1128,0.32,8,25,0.796,253,318,655,265,74,95,174,273,1335
弗兰克-拉姆西,98,2396,0.4240 ,469,1105,0,0,0,0.826,393,476,494,151,0,0,0,362,1331
迈克-毕比,105,3481,0.4080 ,466,1142,0.371,145,391,0.815,247,303,330,420,111,25,191,238,1324
